THE PIERCING STAR SCHOOL,,,,,
CLASS FIVE WEEKLY TIME TABLE,,,,,
CLASS TEACHER,MISS ROOHI,,,,
PERIOD,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
1st Period,"SST
Miss Roohi","SST
Miss Roohi","SST
Miss Roohi","Science
Miss Roohi","Science
Miss Roohi"
2nd Period,"Sindhi
Miss Arisha","Computer
Miss Mehak","Computer
Miss Mehak","Computer
Miss Mehak","Arts
Miss Mehak"
3rd Period,"Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam","Sindhi
Miss Arisha"
4th Period,"English
Miss Komal","English
Miss Komal","English
Miss Komal","English
Miss Komal","English
Miss Komal"
5th Period,"Islamiyat
Miss Maryam","Islamiyat
Miss Maryam","Islamiyat
Miss Maryam","Math
Miss Raima","Math
Miss Raima"
6th Period,"Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Sindhi
Miss Alisha",Free
,,,,,
IMPORTANT INFORMATION,,,,,
Timings,8:00 AM - 12:30 PM,,,,
Friday Timing,8:00 AM - 12:30 PM,,,,
Working Days,Monday to Friday,,,,
