THE PIERCING STAR SCHOOL,,,,,
CLASS FOUR WEEKLY TIME TABLE,,,,,
CLASS TEACHER,MISS MARYAM,,,,
PERIOD,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
1st Period,"Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam"
2nd Period,"Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Math
Miss Raima","Math
Miss Raima"
3rd Period,"P.T.
Sir Shehryar","Computer
Miss Mehak","Computer
Miss Mehak","Sindhi
Miss Komal","Sindhi
Miss Komal"
4th Period,"English
Miss Roohi","English
Miss Roohi","English
Miss Roohi","English
Miss Roohi","English
Miss Roohi"
5th Period,"Islamiyat
Miss Maryam","Islamiyat
Miss Maryam","Science
Miss Roohi","Science
Miss Roohi","Science
Miss Roohi"
6th Period,"SST
Miss Maryam","SST
Miss Maryam","SST
Miss Maryam","Computer
Miss Mehak","Arts
Miss Maryam"
,,,,,
IMPORTANT INFORMATION,,,,,
Timings,8:00 AM - 12:45 PM,,,,
Friday Timing,8:00 AM - 12:00 PM,,,,
Working Days,Monday to Friday,,,,
