THE PIERCING STAR SCHOOL,,,,,
CLASS THREE WEEKLY TIME TABLE,,,,,
PERIOD,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
1st Period,"English
Miss Mehak","English
Miss Mehak","English
Miss Mehak","English
Miss Mehak","English
Miss Mehak"
2nd Period,"Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam","Urdu
Miss Maryam"
3rd Period,P.T.,"SST
Miss Ruhi","SST
Miss Ruhi","SST
Miss Ruhi","Science
Miss Ruhi"
4th Period,"Math
Miss Alisha","Math
Miss Alisha","Math
Miss Alisha","Math
Miss Alisha","Math
Miss Alisha"
5th Period,"Nazira
Muallima","Nazira
Muallima","Nazira
Muallima","Nazira
Muallima","Nazira
Muallima"
6th Period,"Science
Miss Ruhi","Science
Miss Ruhi","Arts
Miss Mehak","Islamiyat
Miss Maryam","Islamiyat
Miss Maryam"
,,,,,
IMPORTANT INFORMATION,,,,,
Timings,8:00 AM - 12:45 PM,,,,
Friday Timing,8:00 AM - 12:00 PM,,,,
Working Days,Monday to Friday,,,,
